# WhiteNoise	RandomWalk	GaussMarkov1	GaussMarkov2
0.27973917	0.27973917	0.27973917	0.27973917
-1.15646665	-0.87672748	-0.87686731	-0.87728639
0.27392532	-0.60280215	-0.60250366	-0.60160825
0.32052794	-0.28227421	-0.28167455	-0.27987830
-0.13898799	-0.42126220	-0.42052174	-0.41830709
-2.84492603	-3.26618824	-3.26523756	-3.26239735
0.51585825	-2.75032999	-2.74774710	-2.74002082
-0.65043569	-3.40076568	-3.39680926	-3.38498195
0.69221579	-2.70854989	-2.70289549	-2.68600296
-0.08619122	-2.79474110	-2.78773560	-2.76682754
0.05033131	-2.74440980	-2.73601077	-2.71096810
0.74934238	-1.99506741	-1.98530072	-1.95620920
1.08276154	-0.91230587	-0.90154678	-0.86953915
-1.00817520	-1.92048107	-1.90927132	-1.87597701
-1.98060876	-3.90108982	-3.88892567	-3.85283756
0.53233100	-3.36875883	-3.35465070	-3.31280859
-1.39607015	-4.76482897	-4.74904394	-4.70225974
0.59739118	-4.16743779	-4.14927883	-4.09547344
0.90261697	-3.26482082	-3.24458774	-3.18467371
0.27978777	-2.98503305	-2.96317808	-2.89852296
0.03798968	-2.94704337	-2.92370718	-2.85474202
0.12815674	-2.81888663	-2.79408895	-2.72088150
1.66743570	-1.15145093	-1.12525656	-1.04800948
-1.49227905	-2.64372998	-2.61697312	-2.53819460
1.32422081	-1.31950917	-1.29144415	-1.20890247
0.73600686	-0.58350230	-0.55479172	-0.47048022
-0.27712313	-0.86062543	-0.83163753	-0.74666333
0.92757596	0.06695052	0.09635415	0.18240446
2.17949424	2.24644477	2.27580023	2.36153426
-0.37757848	1.86886628	1.89708413	1.97923743
-0.77237323	1.09649306	1.12376259	1.20290968
-0.34071536	0.75577770	0.78248549	0.85979091
-0.05324925	0.70252845	0.72884510	0.80482379
-1.35881913	-0.65629068	-0.63033837	-0.55560338
1.89969763	1.24340695	1.26967436	1.34520435
-0.58675711	0.65664984	0.68228257	0.75575952
-2.24582352	-1.58917368	-1.56388201	-1.49157401
-0.09800303	-1.68717671	-1.66110329	-1.58659687
-0.51234794	-2.19952465	-2.17262089	-2.09577479
1.48057411	-0.71895054	-0.69096073	-0.61101331
0.75821234	0.03926180	0.06759700	0.14841983
0.55411013	0.59337193	0.62167333	0.70223342
-0.45775217	0.13561976	0.16361041	0.24307818
-1.61489753	-1.47927777	-1.45136891	-1.37230502
0.00313356	-1.47614421	-1.44750985	-1.36642959
-1.04080116	-2.51694537	-2.48758743	-2.40450062
0.33330009	-2.18364528	-2.15304386	-2.06639634
-1.89756671	-4.08121199	-4.04953432	-3.95983439
-0.13777045	-4.21898244	-4.18528050	-4.08969308
-2.06399791	-6.28298035	-6.24718629	-6.14551977
0.73668809	-5.54629226	-5.50737540	-5.39655293
-0.64688591	-6.19317817	-6.15150830	-6.03265652
0.53158581	-5.66159236	-5.61684751	-5.48901745
-1.18818391	-6.84977627	-6.80222370	-6.66623430
-0.25759446	-7.10737073	-7.05641790	-6.91050962
